year,category,name_of_work,staff_members
1976,BEST PICTURE,Rocky,"Irwin Winkler and Robert Chartoff, Producers"
1976,BEST PICTURE,Taxi Driver,"Michael Phillips and Julia Phillips, Producers"
1976,SHORT FILM (Animated),Dedalo,"Manfredo Manfredi, Producer"
1976,SHORT FILM (Animated),Leisure,"Suzanne Baker, Producer"
1976,SHORT FILM (Animated),The Street,"Caroline Leaf and Guy Glover, Producers"
1976,SHORT FILM (Live Action),In the Region of Ice,"Andre Guttfreund and Peter Werner, Producers"
1976,SHORT FILM (Live Action),Kudzu,"Marjorie Anne Short, Producer"
1976,SHORT FILM (Live Action),The Morning Spider,"Julian Chagrin and Claude Chagrin, Producers"
1976,SHORT FILM (Live Action),Nightlife,"Claire Wilbur and Robin Lehman, Producers"
1976,SHORT FILM (Live Action),Number One,"Dyan Cannon and Vince Cannon, Producers"
1976,WRITING (Screenplay--based on material from another medium),All the President's Men,William Goldman
1976,WRITING (Screenplay--based on material from another medium),Bound for Glory,Robert Getchell
1976,WRITING (Screenplay--based on material from another medium),Fellini's Casanova,"Federico Fellini, Bernardino Zapponi"
1976,WRITING (Screenplay--based on material from another medium),The Seven-per-cent Solution,Nicholas Meyer
1976,WRITING (Screenplay--based on material from another medium),Voyage of the Damned,"Steve Shagan, David Butler"
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),"Cousin, Cousine",Story and Screenplay by Jean-Charles Tacchella; Adaptation by Daniele Thompson
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),The Front,Walter Bernstein
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Network,Paddy Chayefsky
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Rocky,Sylvester Stallone
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Seven Beauties,Lina Wertmüller
1977,DIRECTING,Annie Hall,Woody Allen
1977,DIRECTING,Close Encounters of the Third Kind,Steven Spielberg
1977,DIRECTING,Julia,Fred Zinnemann
1977,DIRECTING,Star Wars,George Lucas
1977,DIRECTING,The Turning Point,Herbert Ross
1977,DOCUMENTARY (Feature),The Children of Theatre Street,"Robert Dornhelm and Earle Mack, Producers"
1977,DOCUMENTARY (Feature),High Grass Circus,"Bill Brind, Torben Schioler and Tony Ianzelo, Producers"
1977,DOCUMENTARY (Feature),Homage to Chagall--The Colours of Love,"Harry Rasky, Producer"
1977,DOCUMENTARY (Feature),Union Maids,"James Klein, Julia Reichert and Miles Mogulescu, Producers"
1977,DOCUMENTARY (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers"
1977,DOCUMENTARY (Short Subject),"Agueda Martinez: Our People, Our Country","Moctesuma Esparza, Producer"
1977,DOCUMENTARY (Short Subject),First Edition,"Helen Whitney and DeWitt L. Sage, Jr., Producers"
1977,DOCUMENTARY (Short Subject),Gravity Is My Enemy,"John Joseph and Jan Stussy, Producers"
1977,DOCUMENTARY (Short Subject),"Of Time, Tombs and Treasure","James R. Messenger and Paul N. Raimondi, Producers"
1977,DOCUMENTARY (Short Subject),The Shetland Experience,"Douglas Gordon, Producer"
1977,DOCUMENTARY (Short Subject),Iphigenia,Greece
1977,DOCUMENTARY (Short Subject),Madame Rosa,France
1977,DOCUMENTARY (Short Subject),Operation Thunderbolt,Israel
1977,DOCUMENTARY (Short Subject),A Special Day,Italy
1977,DOCUMENTARY (Short Subject),That Obscure Object of Desire,Spain
1977,MUSIC (Original Score),Close Encounters of the Third Kind,John Williams
1977,MUSIC (Original Score),Julia,Georges Delerue
1977,MUSIC (Original Score),Mohammad - Messenger of God,Maurice Jarre
1977,MUSIC (Original Score),The Spy Who Loved Me,Marvin Hamlisch
1977,MUSIC (Original Score),Star Wars,John Williams
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),A Little Night Music,Adaptation Score by Jonathan Tunick
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Pete's Dragon,Song Score by Al Kasha and Joel Hirschhorn; Adaptation Score by Irwin Kostal
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),The Slipper and the Rose--The Story of Cinderella,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley
1977,MUSIC (Original Song),"""Candle On The Water"" from Pete's Dragon",Music and Lyrics by Al Kasha and Joel Hirschhorn
1977,MUSIC (Original Song),"""Nobody Does It Better"" from The Spy Who Loved Me",Music by Marvin Hamlisch; Lyrics by Carole Bayer Sager
1977,MUSIC (Original Song),"""The Slipper And The Rose Waltz (He Danced With Me/She Danced With Me)"" from The Slipper and the Rose--The Story of Cinderella",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1977,MUSIC (Original Song),"""Someone's Waiting For You"" from The Rescuers",Music by Sammy Fain; Lyrics by Carol Connors and Ayn Robbins
1977,MUSIC (Original Song),"""You Light Up My Life"" from You Light Up My Life",Music and Lyrics by Joseph Brooks
1977,BEST PICTURE,Annie Hall,"Charles H. Joffe, Producer"
1977,BEST PICTURE,The Goodbye Girl,"Ray Stark, Producer"
1977,BEST PICTURE,Julia,"Richard Roth, Producer"
1977,BEST PICTURE,Star Wars,"Gary Kurtz, Producer"
1977,BEST PICTURE,The Turning Point,"Herbert Ross and Arthur Laurents, Producers"
1977,SHORT FILM (Animated),The Bead Game,"Ishu Patel, Producer"
1977,SHORT FILM (Animated),The Doonesbury Special,"John Hubley, Faith Hubley and Garry Trudeau, Producers"
1977,SHORT FILM (Animated),Jimmy the C,"James Picker, Robert Grossman and Craig Whitaker, Producers"
1977,SHORT FILM (Animated),The Sand Castle,"Co Hoedeman, Producer"
